Kode,Judul,Keterangan
3214,Budidaya Karang (coral),"Kelompok ini mencakup usaha atau kegiatan budidaya/pemeliharaan dan pembesaran serta pemanenan karang (coral) dan pemanfaatannya, seperti pembesaran ornamental coral, pembesaran sponge, dan pembesaran karang (soft coral maupun sel). Termasuk juga kegiatan transplantasinya"
3215,Pembesaran Mollusca Laut,"Kelompok ini mencakup usaha atau kegiatan pemeliharaan dan pembesaran serta pemanenan mollusca di laut, muara sungai, laguna, tempat lain yang dipengaruhi pasang surut dan fasilitas buatan lainnya, seperti kerang darah, kerang hijau, kerang mutiara, dan abalone."
3216,Pembesaran Crustacea Laut,"Kelompok ini mencakup usaha atau kegiatan pemeliharaan dan pembesaran serta pemanenan crustacea di laut, muara sungai, laguna, tempat lain yang dipengaruhi pasang surut dan fasilitas buatan lainnya, seperti lobster, udang barong"
3217,Pembesaran Tumbuhan Air Laut,"Kelompok ini mencakup usaha atau kegiatan pemeliharaan dan pembesaran serta pemanenan tumbuhan laut di laut, muara sungai, laguna, tempat lain yang dipengaruhi pasang surut dan fasilitas buatan lainnya, seperti rumput laut (makro algae penghasil karaginan, agar dan alginat). Termasuk pembesaran algae untuk menghasilkan bioenergi dan non-pangan lainnya."
3219,Budidaya Biota Air Laut Lainnya,"Kelompok ini mencakup usaha atau kegiatan budidaya biota air laut lainnya di laut, muara sungai, laguna, tempat lain yang dipengaruhi pasang surut dan fasilitas buatan lainnya."
3221,Pembesaran Ikan Air Tawar Di Kolam,"Kelompok ini mencakup usaha atau kegiatan pemeliharaan dan pembesaran serta pemanenan ikan bersirip, mollusca, crustacea, katak dan biota air tawar lainnya seperti buaya, labi-labi, kura-kura, sidat, patin, ikan mas, nila, gurame, lele, lobster air tawar, dan udang galah di kolam tanah/kolam semen/kolam terpal. Termasuk pembesaran ikan tawar di bak, tong atau drum."
3222,Pembesaran Ikan Air Tawar Di Karamba Jaring Apung/karamba Jaring Tancap,"Kelompok ini mencakup usaha pembesaran ikan bersirip, mollusca, crustacea, dan biota air tawar lainnya di karamba jaring apung/karamba jaring tancap dengan menggunakan lahan, perairan dan fasilitas buatan lainnya. Contohnya nila, patin, ikan mas, bandeng, dan lainnya."
3223,Pembesaran Ikan Air Tawar Di Karamba,"Kelompok ini mencakup usaha pembesaran ikan bersirip, crustacea, mollusca, dan pembesaran biota air tawar lainnya di karamba dengan menggunakan lahan, perairan dan fasilitas buatan lainnya. Contohnya nila, patin, ikan mas."
3224,Pembesaran Ikan Air Tawar Di Sawah,"Kelompok ini mencakup usaha pembesaran ikan bersirip , crustacea, mollusca, dan biota air tawar lainnya di sawah. Contohnya udang galah, nila, ikan mas, lele"
3225,Budidaya Ikan Hias Air Tawar,"Kelompok ini mencakup usaha pembenihan, pemeliharaan, pembesaran dan pemanenan ikan hias air tawar dengan menggunakan lahan, perairan dan fasilitas buatan lainnya seperti ikan diskus, botia, mas koki, mas koi, arwana, black ghost, cupang, silver dollar, palmas, rainbow, tetra, diamond tetra, barnabus fish dan manfish. Termasuk juga budidaya tanaman hias air tawar, seperti cabomba, egeria densa, cryptocoryne longicauda, anubias"
3226,Pembenihan Ikan Air Tawar,"Kelompok ini mencakup usaha atau kegiatan pembenihan (produksi induk, telur, larva sampai dengan benih siap tebar), ikan bersirip, mollusca, crustacea dan biota air tawar lainnya di air tawar. Contohnya patin, ikan mas, lele, gurame, lobster air tawar, nila, katak, dan buaya"
3229,Budidaya Ikan Air Tawar Di Media Lainnya,"Kelompok ini mencakup usaha atau kegiatan budidaya biota air tawar di media lainnya, seperti bekas galian tambang dan pasir, saluran irigasi (sariban) dan lainnya. Contohnya ikan lele, patin, nila dan ikan mas."
3231,Jasa Sarana Produksi Budidaya Ikan Laut,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha penyiapan sarana budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa pengikatan bibit rumput laut, pembuatan jaring, pelampung, pakan/alami, karamba dan jaring apung dan sebagainya."
3232,Jasa Produksi Budidaya Ikan Laut,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha produksi budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa sortir, pemberian pakan/pakan alami, pemantauan, pengendalian lingkungan dan penyakit, dan sebagainya. Contohnya KSO (kerjasama operasional)."
3233,Jasa Pasca Panen Budidaya Ikan Laut,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha pasca panen budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa pemanenan, jasa sortasi dan gradasi, jasa uji mutu dan sebagainya"
3241,Jasa Sarana Produksi Budidaya Ikan Air Tawar,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha penyiapan sarana budidaya ikan air tawar yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa penyediaan terpal, jaring, pakan, probiotik, vaksin, kapur, pupuk, pengolahan lahan, pembuatan kolam, karamba jaring apung, jasa penampungan hasil budidaya, dan sebagainya"
3242,Jasa Produksi Budidaya Ikan Air Tawar,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha produksi budidaya ikan air tawar yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa sortasi, pemberian pakan, jasa pengendalian jasad pengganggu, jasa pemantauan dan sebagainya."
3243,Jasa Pasca Panen Budidaya Ikan Air Tawar,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha pasca panen budidaya ikan air tawar yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa pemanenan, jasa sortasi dan gradasi, jasa uji mutu, jasa pengeringan, jasa pemberian es, jasa pengepakan dan penyimpanan, dan sebagainya."
3251,Pembesaran Pisces/ikan Bersirip Air Payau,"Kelompok ini mencakup usaha atau kegiatan pembesaran pisces/ikan bersirip air payau (ikan bandeng, patin, nila, ikan mas dan kakap putih dan kerapu), di air payau dengan menggunakan lahan, perairan dan fasilitas buatan lainnya."
3252,Pembenihan Ikan Air Payau,"Kelompok ini mencakup usaha atau kegiatan pembenihan (produksi induk, telur, larva sampai dengan benih siap tebar), ikan air payau (bandeng dan kakap putih), udang galah, udang windu, udang putih dan biota air payau lainnya (kepiting dan rumput laut/Gracilaria) di air payau dengan menggunakan lahan, perairan dan fasilitas buatan lainnya."
3253,Pembesaran Mollusca Air Payau,"Kelompok ini mencakup usaha atau kegiatan pembesaran mollusca air payau dengan menggunakan lahan, perairan dan fasilitas buatan lainnya"
3254,Pembesaran Crustacea Air Payau,"Kelompok ini mencakup usaha atau kegiatan pembesaran crustacea air payau seperti, udang galah, udang windu, udang putih, di air payau dengan menggunakan lahan, perairan dan fasilitas buatan lainnya"
3255,Pembesaran Tumbuhan Air Payau,"Kelompok ini mencakup usaha atau kegiatan pembesaran tumbuhan air payau seperti rumput laut/Gracilaria dengan menggunakan lahan, perairan dan fasilitas buatan lainnya"
3259,Budidaya Biota Air Payau Lainnya,"Kelompok ini mencakup usaha atau kegiatan budaidaya biota air payau lainnya dengan menggunakan lahan, perairan dan fasilitas buatan lainnya."
3261,Jasa Sarana Produksi Budidaya Ikan Air Payau,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha penyiapan sarana budidaya ikan air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa pembuatan tambak, dan sebagainya"
3262,Jasa Produksi Budidaya Ikan Air Payau,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha produksi budidaya ikan air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa penebaran benih, jasa pengendalian jasad pengganggu, jasa pengendalian lingkungan dan penyakit, jasa pemberian pakan, jasa pemantauan dan sebagainya"
3263,Jasa Pasca Panen Budidaya Ikan Air Payau,"Kelompok ini mencakup usaha atau kegiatan yang secara langsung berhubungan dengan usaha pasca panen budidaya ikan air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa pemanenan, jasa sortasi dan gradasi, jasa uji mutu, jasa pengeringan, jasa pemberian es, jasa pengepakan dan penyimpanan, dan sebagainya"
5101,Pertambangan Batu Bara,"Kelompok ini mencakup usaha operasi penambangan, pengeboran berbagai kualitas batu bara seperti antrasit, bituminous dan subbitominous baik pertambangan di permukaan tanah atau bawah tanah, termasuk pertambangan dengan cara pencairan (liquefaction). Operasi pertambangan tersebut meliputi penggalian, penghancuran, pencucian, penyaringan dan pencampuran serta pemadatan meningkatkan kualitas atau memudahkan pengangkutan dan penyimpanan/penampungan. Termasuk pencarian batu bara dari kumpulan tepung bara (culm bank)"
5102,Gasifikasi Batu Bara Di Lokasi Penambangan,Kelompok ini mencakup usaha memproduksi gas dari batu bara di lokasi penambangan (on site gasification of coal).
5200,Pertambangan Lignit,"Kelompok ini mencakup usaha operasi penambangan, pengeboran berbagai kualitas lignit, seperti pertambangan lignit di permukaan tanah atau bawah tanah, termasuk pertambangan dengan cara pencairan (liquefaction). Operasi pertambangan tersebut meliputi penggalian, penghancuran, pencucian, penyaringan dan pencampuran serta pemadatan lignit untuk meningkatkan kualitas dan memudahkan pengangkutan dan penyimpanan/penampungan."
6100,Pertambangan Minyak Bumi,"Kelompok ini mencakup usaha atau kegiatan pertambangan minyak bumi mentah termasuk usaha pencarian kandungan minyak bumi, pengeboran, penambangan, pemisahan serta penampungan, produksi minyak bumi mentah kondensat, pemrosesan untuk menghasilkan minyak mentah dengan cara penampungan, penyaringan, pengeringan, stabilisasi dan lain-lain. Hasil pertambangan minyak bumi antara lain minyak mentah atau crude oil dan kondensat. Kelompok ini juga mencakup usaha operasi penambangan pasir bituminous atau oil shale (serpihan minyak) dan pasir aspal. Kegiatan pertambangan tersebut meliputi penggalian, pengeboran, penghancuran, pencucian, penyaringan dan pencampuran serta penampungan. Termasuk kegiatan produksi minyak bumi mentah dari serpihan minyak dan pasir bituminous jika terkait dengan pertambangannya. Pengolahan lanjut dari hasil minyak bumi dimasukkan dalam kelompok 19211"
6201,Pertambangan Gas Alam,"Kelompok ini mencakup usaha pencarian kandungan gas alam, pengeboran, penambangan, pemisahan serta penampungan. Hasil pertambangan gas alam antara lain gas alam. Pencairan gas alam menjadi LNG sampai kepengapalannya masih termasuk kegiatan pertambangan. Termasuk kegiatan CBM (Coalbed Methane)."
6202,Pengusahaan Tenaga Panas Bumi,Kelompok ini mencakup usaha pencarian dan pengeboran tenaga panas bumi. Termasuk kegiatan lain yang berhubungan dengan pengusahaan tenaga panas bumi sampai ke tempat pemanfaatannya. Kegiatan pengubahan tenaga panas bumi menjadi tenaga listrik termasuk golongan pokok 35
7101,Pertambangan Pasir Besi,"Kelompok ini mencakup usaha penambangan pasir besi. Termasuk kegiatan pemurnian, sortasi, pemisahan dan pembersihan yang tidak dapat dipisahkan secara administratif dari usaha pertambangan pasir besi tersebut"
7102,Pertambangan Bijih Besi,Kelompok ini mencakup usaha penambangan bijih besi termasuk kegiatan peningkatan mutu dan aglomerasi bijih besi dan pengolahan lebih lanjut bijih besi menjadi bijih logam
7210,Pertambangan Bijih Uranium Dan Thorium,Kelompok ini mencakup usaha penambangan bijih uranium dan thorium. Termasuk kegiatan pemurnian konsentrat uranium dan thorium dan produksi yellow cake
7291,Pertambangan Bijih Timah,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih timah. Kegiatan pembuatan dan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih timah, dimasukkan dalam kelompok ini."
7292,Pertambangan Bijih Timah Hitam,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih timah hitam. Kegiatan pembersihan, pemisahan dan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih timah hitam, dimasukkan dalam kelompok ini."
7293,Pertambangan Bijih Bauksit/aluminium,"Kelompok ini mencakup usaha penambangan, penampungan dan pengolahan bijih bauksit. Kegiatan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih bauksit, dimasukkan dalam kelompok ini"
7294,Pertambangan Bijih Tembaga,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih tembaga, yang terdiri dari kalkosit serta batuan berupa campuran monticellit dan skarnyakut. Kegiatan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih tembaga, dimasukkan dalam kelompok ini"
7295,Pertambangan Bijih Nikel,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih nikel. Termasuk juga usaha pemanfaatannya yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih nikel, dimasukkan dalam kelompok ini"
7296,Pertambangan Bijih Mangan,"Kelompok ini mencakup usaha penambangan, pengolahan dan pemurnian bijih mangan. Termasuk juga usaha pemanfaatannya yang tidak dapat dipisahkan dari usaha pertambangan bijih mangan, dimasukkan dalam kelompok ini"
7299,Pertambangan Bahan Galian Lainnya Yang Tidak Mengandung Bijih Besi,"Kelompok ini mencakup usaha penambangan dan pengolahan bahan galian lainnya yang tidak mengandung bijih besi yang belum termasuk kelompok 07291 s.d. 07296, seperti bijih seng platinum dan silicon. Kegiatan pembersihan dan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih logam lainnya, dimasukkan dalam kelompok ini."
7301,Pertambangan Emas Dan Perak,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih emas dan perak. Kegiatan pembersihan, pemisahan dan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih emas dan perak, dimasukkan dalam kelompok ini"
7309,Pertambangan Bijih Logam Mulia Lainnya,"Kelompok ini mencakup usaha penambangan dan pengolahan bijih logam mulia lainnya, selain bijih logam emas dan perak, seperti bijih platina. Kegiatan pembersihan dan pemurnian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan bijih logam lainnya, dimasukkan dalam kelompok ini"
8101,Penggalian Batu Hias Dan Batu Bangunan,"Kelompok ini mencakup usaha penggalian batu hias dan batu bangunan, seperti batu pualam atau marmer, batu split (batu gajah, base course, batu pecah), paras, obsidian, andesit dan granit. Kegiatan pemecahan, pembersihan, pengangkutan dan penjualan, yang tidak dapat dipisahkan secara administratif dari usaha penggalian batu hias dan bangunan, dimasukkan dalam kelompok ini"
8102,Penggalian Batu Kapur/gamping,"Kelompok ini mencakup usaha penggalian batu batu kapur atau gamping. Kegiatan pemecahan, penghancuran, penyaringan dan penghalusan, termasuk pengangkutan dan penjualan yang tidak dapat dipisahkan secara administratif dari usaha penggalian batu kapur/gamping, dimasukkan dalam kelompok ini"
8103,Penggalian Kerikil (sirtu),"Kelompok ini mencakup usaha penggalian, pembersihan dan pemisahan kerikil. Hasil dari penggalian kerikil antara lain batu pasir, bongkah keras dan pasir kerikil"
8104,Penggalian Pasir,"Kelompok ini mencakup usaha penggalian, pembersihan dan pemisahan pasir. Hasil dari penggalian pasir berupa pasir beton, pasir pasang (sedikit mengandung tanah), pasir uruk (banyak mengandung tanah) dan lainnya"
8105,Penggalian Tanah Dan Tanah Liat,"Kelompok ini mencakup usaha penggalian tanah dan tanah liat. Kegiatan pembentukan, penghancuran dan penggilingan yang tidak dapat dipisahkan secara administratif dari usaha penggalian tanah dan tanah liat dimasukkan dalam kelompok ini. Hasil dari penggalian tanah dan tanah liat/lempung antara lain kaolin (china clay), ball clay (firing clay), abu bumi, serpih dan tanah urug."
8106,Penggalian Gips,"Kelompok ini mencakup usaha penggalian gips. Kegiatan pembersihan, pemurnian dan penghalusan gips yang tidak dapat dipisahkan secara administratif dari usaha penggalian gips dimasukkan dalam kelompok ini."
8107,Penggalian Tras,Kelompok ini mencakup usaha penggalian tras (batuan gunung api yang mengalami perubahan kimia karena pelapukan dan kondisi air bawah tanah)
8108,Penggalian Batu Apung,"Kelompok ini mencakup usaha penggalian batu apung (jenis batuan yang berwarna terang, mengandung buih yang terbuat dari gelembung berdinding gelas, dan biasanya disebut juga sebagai batuan gelas vulkanik silikat)"
8109,"Penggalian Batu, Pasir Dan Tanah Liat Lainnya","Kelompok ini mencakup usaha penggalian batu, pasir dan tanah liat lainnya, yang tidak terklasifikasikan di kelompok 08101 - 08108. Kegiatan penggalian yang masuk dalam kelompok ini seperti penggalian batu tulis/sabak, diorit, basalt, breksi, dan lainnya"
8911,Pertambangan Belerang,"Kelompok ini mencakup usaha penambangan bijih belerang. Termasuk juga kegiatan penghancuran, pembersihan dan pengolahan terhadap mineral belerang yang tidak dapat dipisahkan secara administratif dari usaha pertambangan belerang tersebut. Pengolahan lanjutan dari mineral belerang yang tidak ada hubungannya dengan kegiatan atau usaha penambangan dimasukkan dalam kelompok 20114"
8912,Pertambangan Fosfat,"Kelompok ini mencakup usaha penambangan bahan galian fosfat. Kegiatan pemurnian, sortasi, penghancuran, pembersihan dan peningkatan kadar bahan galian fosfat yang tidak dapat dipisahkan secara administratif dari usaha pertambangan fosfat dimasukkan dalam kelompok ini."
8913,Pertambangan Nitrat,"Kelompok ini mencakup usaha penambangan bahan galian nitrat. Kegiatan pembersihan, pemurnian, pemecahan, sortasi dan pengolahan dengan cara lain terhadap bahan galian nitrat yang tidak dapat dipisahkan secara administratif dari usaha pertambangan nitrat dimasukkan dalam kelompok ini"
8914,Pertambangan Yodium,Kelompok ini mencakup usaha penambangan ekstraksi air tanah yang mengandung yodium. Kegiatan distilasi dan pemurnian dari ekstraksi mineral tersebut yang tidak dapat dipisahkan secara administratif dari usaha pertambangan yodium dimasukkan dalam kelompok ini.
8915,Pertambangan Potash (kalium Karbonat),"Kelompok ini mencakup usaha penambangan potash dalam bentuk garam, feldpar dan leusit analeum. Kegiatan penghancuran dan pembersihan terhadap mineral tersebut yang tidak dapat dipisahkan secara administratif dari usaha pertambangan potash dimasukkan dalam kelompok ini."
8919,"Pertambangan Mineral, Bahan Kimia Dan Bahan Pupuk Lainnya","Kelompok ini mencakup usaha penambangan mineral bahan kimia dan bahan pupuk lainnya yang belum tercakup dalam kelompok 08911 s.d. 08915. Misalnya penambangan barium sulfat alam dan karbonat (barite dan witherit), borat alam, magnesium sulfat alam (kiserit), penambangan earth coulor, flour, bentonite, dolomit, magnesit, phiroplit, tawas, diatomea, dan mineral lain yang utamanya sebagai bahan kimia dan penambangan guano (bahan pupuk dari kotoran burung atau kelelawar. Kegiatan pembersihan, pemurnian, pemisahan dan sortasi yang tidak dapat dipisahkan secara administratif dari usaha pertambangan mineral bahan kimia dan bahan pupuk lainnya dimasukkan dalam kelompok ini."
8920,Ekstraksi Tanah Gemuk (peat),"Kelompok ini mencakup usaha operasi ekstraksi dan penggalian tanah gemuk, aglomerasi tanah gemuk dan pengolahan tanah gemuk (peat) untuk meningkatkan kualitas atau memudahkan pengangkutan atau penyimpanan. Operasi ekstraksi tersebut meliputi penggalian, penghancuran, pencucian, penyaringan, dan pencampuran serta penampungan"
8930,Ekstraksi Garam,"Kelompok ini mencakup usaha ekstraksi garam yaitu pengambilan garam dari bawah tanah termasuk dengan pelarutan dan pemompaan, serta produksi garam dengan penguapan air laut atau air garam lainnya di tambak/empang/media lainnya, dan penghancuran, pemurnian dan penyulingan garam oleh petani garam. termasuk juga kegiatan pengumpulan, pembersihan, penggilingan, penghancuran, dan pengolahan terhadap mineral garam yang tidak dapat dipisahkan secara administratif dari usaha ekstraksi tersebut"
8991,Pertambangan Batu Mulia,"Kelompok ini mencakup usaha penambangan dan penggalian batu mulia/batu permata, seperti intan. Termasuk kegiatan pemurnian, pemisahan/sortasi, pembersihan dan pengolahan dengan cara lain terhadap batu mulia/batu permata yang tidak dapat dipisahkan secara administratif dari usaha pertambangan dan penggalian lainnya tersebut"
8992,Penggalian Feldspar Dan Kalsit,"Kelompok ini mencakup usaha penggalian feldspar dan kalsit. Kegiatan pemecahan, penghancuran, penyaringan dan penghalusan, termasuk pengangkutan dan penjualan yang tidak dapat dipisahkan secara administratif dari usaha penggalian feldspar dan kalsit/batu bintang, dimasukkan dalam kelompok ini"
8993,Pertambangan Aspal Alam,"Kelompok ini mencakup usaha penambangan aspal alam, batu beraspal dan bitumen padat alam. Kegiatan pemurnian, pemisahan dan penuangan terhadap mineral tersebut yang tidak dapat dipisahkan secara administratif dari usaha pertambangan aspal alam dimasukkan dalam kelompok ini."
8994,Penggalian Asbes,Kelompok ini mencakup usaha penggalian asbes dalam bentuk serabut maupun tidak. Kegiatan pembersihan dan pemisahan yang tidak dapat dipisahkan secara administratif dari usaha penggalian asbes dimasukkan dalam kelompok ini.
8995,Penggalian Kuarsa/pasir Kuarsa,"Kelompok ini mencakup usaha penggalian kuarsa/pasir kuarsa/pasir silika. Kegiatan pemecahan, penghancuran, penyaringan dan penghalusan, termasuk pengangkutan dan penjualan yang tidak dapat dipisahkan secara administratif dari usaha penggalian kuarsa/pasir kuarsa/pasir silika, dimasukkan dalam kelompok ini"
8999,Pertambangan Dan Penggalian Lainnya Ytdl,"Kelompok ini mencakup usaha penambangan dan penggalian bahan galian lainnya yang belum termasuk dalam golongan manapun. Termasuk kegiatan pemurnian, pemisahan/sortasi, pembersihan dan pengolahan dengan cara lain terhadap bahan tambang/galian yang tidak dapat dipisahkan secara administratif dari usaha pertambangan dan penggalian lainnya tersebut. Pertambangan dan penggalian ini antara lain mika, leusit, yarosit, zeolit, batu penggosok, grafit alam, steatite (talc), tepung fosil siliceous, oker, toseki dan lainnya"
9100,Aktivitas Penunjang Pertambangan Minyak Bumi Dan Gas Alam,"Kelompok ini mencakup kegiatan jasa yang berkaitan dengan pertambangan minyak dan gas bumi yang dilakukan atas dasar balas jasa (fee) atau kontrak, seperti jasa eksplorasi pengambilan minyak atau gas dengan cara tradisional yaitu membuat observasi geologi, pemasangan alat pengeboran, perbaikan dan pembongkaran penyemenan sumur minyak dan sumur gas, pembuatan saluran sumur, pemompaan sumur produksi, penyumbatan dan penutupan sumur produksi, pengujian produksi, dismantling, pencairan dan regasifikasi gas alam untuk kebutuhan transportasi di lokasi pertambangan, pengeboran percobaan dalam rangka penyulingan minyak bumi dan gas alam dan jasa pemadam kebakaran ladang minyak bumi dan gas alam"
9900,Aktivitas Penunjang Pertambangan Dan Penggalian Lainnya,"Kelompok ini mencakup jasa penunjang atas dasar balas jasa atau kontrak, yang dibutuhkan dalam kegiatan pertambangan golongan pokok 05, 07, dan 08, seperti jasa eksplorasi misalnya dengan cara tradisional seperti mengambil contoh bijih dan membuat observasi geologi, jasa pemompaan dan penyaluran hasil tambang dan jasa percobaan penggalian dan pengeboran ladang atau sumur tambang"
10110,Kegiatan Rumah Potong Dan Pengepakan Daging Bukan Unggas,"Kelompok ini mencakup kegiatan operasional rumah potong hewan yang berkaitan dengan kegiatan pemotongan, pengulitan, pembersihan dan pengepakan daging, seperti daging sapi, babi, biri-biri, kelinci, domba, unta dan daging segar lainnya bukan unggas, kegiatan pengurusan hasil sampingan, seperti produksi kulit dan jangat dari tempat pemotongan hewan termasuk fellmongery, penjemuran tulang, pengolahan sisaan atau kotoran hewan, penyortiran wol dan bulu dan pembersihan lemak. Termasuk kegiatan pemotongan dan pengolahan paus di darat atau di kapal khusus. Pemotongan yang dilakukan oleh pedagang dimasukkan dalam golongan 462, 472 dan 478."
10120,Kegiatan Rumah Potong Dan Pengepakan Daging Unggas,"Kelompok ini mencakup kegiatan operasional rumah potong unggas dan pengepakan daging unggas, termasuk kegiatan pengurusan hasil sampingan, seperti pemrosesan sisa atau kotoran unggas, pementangan kulit, penyortiran bulu dan pembersihan lemak. Pemotongan yang dilakukan oleh pedagang dimasukkan dalam golongan 462, 472 dan 478."
10130,Industri Pengolahan Dan Pengawetan Produk Daging Dan Daging Unggas,"Kelompok ini mencakup usaha pengolahan dan pengawetan produk daging dan daging unggas dengan cara pengalengan, pengasapan, penggaraman, pembekuan, pemanisan dan sebagainya. Kegiatannya mencakup produksi daging beku dalam bentuk carcase, produksi daging beku yang telah dipotong, produksi daging beku dalam porsi tersendiri, produksi daging yang dikeringkan, daging yang diasinkan atau daging yang diasapkan, produksi produk-produk daging, seperti sosis, salami, puding, andovillettes, saveloy, bologna, patc, rillet, dan daging ham. Termasuk kegiatan pengolahan daging paus di darat atau di kapal khusus."
10211,Industri Penggaraman/pengeringan Ikan,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses penggaraman/pengeringan, seperti ikan tembang asin, ikan teri asin, dan ikan kering tawar."
10212,Industri Pengasapan/pemanggangan Ikan,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses pengasapan/pemanggangan seperti ikan bandeng asap, ikan julung-julung/roa asap, ikan fufu/asar asap, ikan lele asap, dan ikan patin asap"
10213,Industri Pembekuan Ikan,"Kelompok ini mencakup usaha pengawetan ikan (bersirip/pisces) melalui proses pembekuan, seperti ikan bandeng beku, ikan tuna/cakalang beku dan kakap beku. Termasuk juga ikan utuh maupun dipotong (fillet, loin, saku, steak, chunk, brown meat) yang dibekukan. Kegiatan ini tidak termasuk usaha pendinginan ikan dengan es yang dimaksud untuk mempertahankan kesegaran ikan tersebut (10217)."
10214,Industri Pemindangan Ikan,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses pemindangan, seperti pindang bandeng/paso, pindang tongkol, pindang cuwe, pindang naya, pindang lemuru/tembang, pindang layang, dan pindang cakalang"
10215,Industri Peragian/fermentasi Ikan,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses peragian/fermentasi, seperti peragian/fermentasi peda dan ikan kayu."
10216,Industri Berbasis Daging Lumatan Dan Surimi,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses pelumatan daging ikan/ penggilingan. Termasuk industri daging lumat yang dicampur bahan tambahan melalui proses pemasakan atau tidak dimasak kemudian dibekukan. Contoh berbasis daging lumatan dan surimi: mata goyang, kurisi, dll. Berbasis surimi: baso, nuget, otak2, kamaboko, sosis, pempek, siomay, dimsum, chikuwa, imitation crab"
10217,Industri Pendinginan/pengesan Ikan,Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) melalui proses pendinginan/pengesan
10219,Industri Pengolahan Dan Pengawetan Lainnya Untuk Ikan,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan (bersirip/pisces) dengan cara selain yang tercakup dalam kelompok 10211 s.d. 10218. Termasuk kegiatan kapal yang digunakan hanya untuk pengolahan dan pengawetan ikan dan biota air lainnya (dalam hal ini tidak termasuk pengalengannya), produksi tepung ikan untuk konsumsi manusia dan makanan hewan dan produksi daging dan bagian dari ikan bukan untuk konsumsi manusia, konsentrat tepung ikan."
10221,Industri Pengolahan Dan Pengawetan Ikan Dan Biota Air (bukan Udang) Dalam Kaleng,"Kelompok ini mencakup usaha pengolahan dan pengawetan ikan dan biota perairan lainnya kecuali udang melalui proses pengalengan, seperti ikan sardencis dalam kaleng, kerang dalam kaleng, lemuru dalam kaleng, mackarel dalam kaleng, cephalopoda (cumi/gurita/sotong) dalam kaleng, tuna dalam kaleng, rajungan/kepiting dalam kaleng. Kegiatan kapal pengolah ikan yang hanya melakukan pengolahan dan pengawetan dalam kaleng (tanpa melakukan kegiatan penangkapan) termasuk dalam kelompok ini"
10222,Industri Pengolahan Dan Pengawetan Udang Dalam Kaleng,Kelompok ini mencakup usaha pengolahan dan pengawetan udang melalui proses pengalengan (udang dalam kaleng). Kegiatan kapal pengolah udang yang hanya melakukan pengolahan dan pengawetan dalam kaleng (tanpa melakukan kegiatan penangkapan) termasuk dalam kelompok ini.
10291,Industri Penggaraman/pengeringan Biota Air Lainnya,"Kelompok ini mencakup usaha pengolahan dan pengawetan crustacea, mollusca dan biota perairan lainnya melalui proses penggaraman/pengeringan, seperti udang asin, cumi-cumi asin, ebi, ubur-ubur asin, sotong asin, teripang kering, sotong kering, dan lainnya"
